year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015,2,F9,Frontier Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",32,8,0.93,0,2.95,0,4.12,0,0,503,45,0,196,0,262
2015,2,F9,Frontier Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",56,20,1.67,0,8.7,0,9.64,0,0,1255,77,0,473,0,705
2015,2,F9,Frontier Airlines Inc.,FAR,"Fargo, ND: Hector International",12,8,2.54,0.02,3.69,0,1.75,0,0,756,157,1,180,0,418
2015,2,F9,Frontier Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",24,6,2.24,0,2.3,0,1.46,2,0,463,235,0,81,0,147
2015,2,F9,Frontier Airlines Inc.,ILG,"Wilmington, DE: New Castle",20,5,2.73,0,1.33,0,0.94,2,0,452,232,0,96,0,124
2015,2,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",36,14,1.3,0.03,8.78,0,3.89,0,0,1247,60,7,572,0,608
2015,2,F9,Frontier Airlines Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",28,9,1.4,0,3.02,0,4.59,0,0,852,421,0,177,0,254
2015,2,F9,Frontier Airlines Inc.,MDT,"Harrisburg, PA: Harrisburg International",20,3,1.09,0,0.38,0,1.52,0,0,740,52,0,148,0,540
2015,2,F9,Frontier Airlines Inc.,BMI,"Bloomington/Normal, IL: Central Illinois Regional",8,6,1.61,0,2.77,0,1.62,0,0,391,157,0,136,0,98
2015,2,F9,Frontier Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",12,3,0.58,0.05,2.37,0,0,0,0,99,11,2,86,0,0
2015,2,F9,Frontier Airlines Inc.,BNA,"Nashville, TN: Nashville International",28,4,0.72,0,3.23,0,0.05,1,0,119,23,0,95,0,1
2015,2,F9,Frontier Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",36,11,0.39,0,7.72,0,2.89,0,0,1115,28,0,697,0,390
2015,2,F9,Frontier Airlines Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",16,9,1.72,0,4.5,0,2.78,0,0,848,153,0,211,0,484
2015,2,F9,Frontier Airlines Inc.,MEM,"Memphis, TN: Memphis International",16,2,1,0,1,0,0,0,0,66,22,0,44,0,0
2015,2,F9,Frontier Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",28,6,0.07,0,4.4,0,1.52,0,0,314,7,0,168,0,139
2015,2,F9,Frontier Airlines Inc.,LGA,"New York, NY: LaGuardia",56,33,7.77,0,22.33,0,2.9,2,1,1941,450,0,1242,0,249
2015,2,F9,Frontier Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",44,20,2.21,1,11,0,5.78,0,0,1193,153,37,439,0,564
2015,2,F9,Frontier Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",12,4,2.5,0.92,0.58,0,0,0,0,251,102,129,20,0,0
2015,2,F9,Frontier Airlines Inc.,UST,"St. Augustine, FL: Northeast Florida Regional",13,5,0.19,0,1.93,0,2.88,2,0,383,4,0,98,0,281
2015,2,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",18,7,1.33,0,1.16,0,4.51,1,0,512,43,0,84,0,385
2015,2,F9,Frontier Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",16,6,1.91,0.22,1.81,0,2.07,1,0,820,106,15,203,0,496
2015,2,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Honolulu International",2525,537,239.01,42.39,22.68,1.31,231.61,2,0,22376,12089,1529,529,25,8204
2015,2,HA,Hawaiian Airlines Inc.,KOA,"Kona, HI: Kona International Airport at Keahole",580,73,20.37,2.79,3.68,0,46.17,0,1,1974,564,61,75,0,1274
2015,2,HA,Hawaiian Airlines Inc.,ITO,"Hilo, HI: Hilo International",444,65,17.78,1.43,0.76,0,45.02,0,0,1950,544,86,17,0,1303
2015,2,HA,Hawaiian Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",583,75,21.98,4.89,2.26,0,45.87,0,0,2339,695,120,40,0,1484
2015,2,HA,Hawaiian Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",1103,176,83.85,5.85,2.6,0,83.69,1,1,6029,3019,201,56,0,2753
2015,2,HA,Hawaiian Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",28,8,8,0,0,0,0,0,0,223,223,0,0,0,0
2015,2,HA,Hawaiian Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",56,6,4,1,0,0,1,0,0,454,201,206,0,0,47
